run	condition	batch	checks	capture_attempts	published_captures	observed_saves	input_tokens	cached_input_tokens	output_tokens	total_tokens	model_tool_calls	wall_seconds	all_objective_gates
A1	A	1	2	0	0	3	262911	215680	2735	265646	8	180.184	True
A2	A	2	2	0	0	3	337510	303744	2628	340138	10	180.778	True
B1	B	1	3	5	5	4	421619	380160	4249	425868	10	222.055	True
B2	B	2	4	5	5	5	553963	502016	4192	558155	14	252.541	True
B3	B	3	3	5	5	4	660833	603520	4239	665072	16	257.123	True
B4	B	3	3	3	3	3	385415	360960	3563	388978	10	207.375	True
C1	C	1	8	8	7	8	1240717	1190912	5418	1246135	27	365.935	True
C2	C	2	6	7	6	6	691977	647552	4955	696932	16	293.542	True
C3	C	3	7	7	6	6	784341	714880	5011	789352	17	296.422	True
C4	C	4	9	8	7	8	860944	813952	5170	866114	19	325.005	True
