run	condition	batch	model	effort	dispatch_utc	harness_start_utc	completion_utc	wall_seconds	status	input_tokens	cached_input_tokens	cache_write_input_tokens	output_tokens	reasoning_output_tokens	total_tokens	model_tool_calls	harness_tokens_used	usage_receipt
A1	A	1	gpt-6-astra	high	2026-09-05T15:29:35.964481+00:00	2026-09-05T15:29:46.439Z	2026-09-05T15:32:36.148Z	180.184	complete	262911	215680	0	2735	634	265646	8	265646	evidence/A1-usage.json
B1	B	1	gpt-6-astra	high	2026-09-05T15:29:54.830782+00:00	2026-09-05T15:30:01.072Z	2026-09-05T15:33:36.886Z	222.055	complete	421619	380160	0	4249	435	425868	10	425868	evidence/B1-usage.json
C1	C	1	gpt-6-astra	high	2026-09-05T15:30:10.491607+00:00	2026-09-05T15:30:20.118Z	2026-09-05T15:36:16.427Z	365.935	complete	1240717	1190912	0	5418	608	1246135	27	1246135	evidence/C1-usage.json
A2	A	2	gpt-6-astra	high	2026-09-05T15:36:26.825993+00:00	2026-09-05T15:36:34.797Z	2026-09-05T15:39:27.604Z	180.778	complete	337510	303744	0	2628	371	340138	10	340138	evidence/A2-usage.json
B2	B	2	gpt-6-astra	high	2026-09-05T15:36:44.150022+00:00	2026-09-05T15:36:51.630Z	2026-09-05T15:40:56.691Z	252.541	complete	553963	502016	0	4192	478	558155	14	558155	evidence/B2-usage.json
C2	C	2	gpt-6-astra	high	2026-09-05T15:37:02.574068+00:00	2026-09-05T15:37:09.967Z	2026-09-05T15:41:56.116Z	293.542	complete	691977	647552	0	4955	610	696932	16	696932	evidence/C2-usage.json
B3	B	3	gpt-6-astra	high	2026-09-05T15:42:04.137924+00:00	2026-09-05T15:42:12.246Z	2026-09-05T15:46:21.261Z	257.123	complete	660833	603520	0	4239	558	665072	16	665072	evidence/B3-usage.json
C3	C	3	gpt-6-astra	high	2026-09-05T15:42:21.872287+00:00	2026-09-05T15:42:29.070Z	2026-09-05T15:47:18.294Z	296.422	complete	784341	714880	0	5011	555	789352	17	789352	evidence/C3-usage.json
B4	B	3	gpt-6-astra	high	2026-09-05T15:42:38.033291+00:00	2026-09-05T15:42:44.660Z	2026-09-05T15:46:05.408Z	207.375	complete	385415	360960	0	3563	419	388978	10	388978	evidence/B4-usage.json
C4	C	4	gpt-6-astra	high	2026-09-05T15:47:28.105174+00:00	2026-09-05T15:47:37.100Z	2026-09-05T15:52:53.110Z	325.005	complete	860944	813952	0	5170	298	866114	19	866114	evidence/C4-usage.json
